"subject","item","Provo_ID","list","accuracy","duration","sound","ended_on","response","correctResponse","item_quest"
1,99,NA,"A",1,8361.00000000003,"silence","response","FALSE","FALSE",1
1,99,NA,"A",1,5943,"silence","response","TRUE","TRUE",2
1,100,NA,"A",0,4889,"silence","response","FALSE","TRUE",1
1,100,NA,"A",1,2642.00000000003,"silence","response","FALSE","FALSE",2
1,1,NA,"A",0,3357,"silence","response","FALSE","TRUE",1
1,1,NA,"A",1,5256,"silence","response","FALSE","FALSE",2
1,4,NA,"A",1,3162,"silence","response","FALSE","FALSE",1
1,4,NA,"A",1,1867,"silence","response","TRUE","TRUE",2
1,7,NA,"A",1,2240,"silence","response","FALSE","FALSE",1
1,7,NA,"A",1,8532.00000000006,"silence","response","TRUE","TRUE",2
1,10,NA,"A",1,6579,"silence","response","TRUE","TRUE",1
1,10,NA,"A",1,2819,"silence","response","TRUE","TRUE",2
1,8,NA,"A",1,3780,"lyrical","response","FALSE","FALSE",1
1,8,NA,"A",1,2476,"lyrical","response","TRUE","TRUE",2
1,11,NA,"A",0,5357,"lyrical","response","TRUE","FALSE",1
1,11,NA,"A",0,7209.00000000006,"lyrical","response","TRUE","FALSE",2
1,5,NA,"A",1,2004,"lyrical","response","FALSE","FALSE",1
1,5,NA,"A",0,6098.00000000006,"lyrical","response","FALSE","TRUE",2
1,2,NA,"A",0,9306,"lyrical","response","TRUE","FALSE",1
1,2,NA,"A",1,2382,"lyrical","response","FALSE","FALSE",2
1,3,NA,"A",1,3014,"instrumental","response","TRUE","TRUE",1
1,3,NA,"A",0,3064,"instrumental","response","TRUE","FALSE",2
1,9,NA,"A",1,2599,"instrumental","response","TRUE","TRUE",1
1,9,NA,"A",1,2240,"instrumental","response","FALSE","FALSE",2
1,6,NA,"A",1,3967,"instrumental","response","TRUE","TRUE",1
1,6,NA,"A",1,1804,"instrumental","response","TRUE","TRUE",2
1,12,NA,"A",1,2058,"instrumental","response","FALSE","FALSE",1
1,12,NA,"A",1,1270,"instrumental","response","TRUE","TRUE",2
2,99,NA,"A",1,5128.00000000003,"silence","response","FALSE","FALSE",1
2,99,NA,"A",1,4197.00000000003,"silence","response","TRUE","TRUE",2
2,100,NA,"A",1,6369,"silence","response","TRUE","TRUE",1
2,100,NA,"A",1,2511,"silence","response","FALSE","FALSE",2
2,7,NA,"A",1,3664,"silence","response","FALSE","FALSE",1
2,7,NA,"A",1,3191,"silence","response","TRUE","TRUE",2
2,1,NA,"A",0,4613,"silence","response","FALSE","TRUE",1
2,1,NA,"A",1,2906.00000000006,"silence","response","FALSE","FALSE",2
2,10,NA,"A",1,4585,"silence","response","TRUE","TRUE",1
2,10,NA,"A",1,4601,"silence","response","TRUE","TRUE",2
2,4,NA,"A",1,4443,"silence","response","FALSE","FALSE",1
2,4,NA,"A",1,2003,"silence","response","TRUE","TRUE",2
2,5,NA,"A",1,2242,"lyrical","response","FALSE","FALSE",1
2,5,NA,"A",1,4307,"lyrical","response","TRUE","TRUE",2
2,8,NA,"A",1,2978,"lyrical","response","FALSE","FALSE",1
2,8,NA,"A",1,3309,"lyrical","response","TRUE","TRUE",2
2,2,NA,"A",1,3804,"lyrical","response","FALSE","FALSE",1
2,2,NA,"A",1,4861,"lyrical","response","FALSE","FALSE",2
2,11,NA,"A",1,8056,"lyrical","response","FALSE","FALSE",1
2,11,NA,"A",1,3872,"lyrical","response","FALSE","FALSE",2
2,9,NA,"A",1,4672,"instrumental","response","TRUE","TRUE",1
2,9,NA,"A",1,2404,"instrumental","response","FALSE","FALSE",2
2,12,NA,"A",1,3271,"instrumental","response","FALSE","FALSE",1
2,12,NA,"A",1,1838,"instrumental","response","TRUE","TRUE",2
2,6,NA,"A",1,2874,"instrumental","response","TRUE","TRUE",1
2,6,NA,"A",1,2477,"instrumental","response","TRUE","TRUE",2
2,3,NA,"A",1,2763.00000000012,"instrumental","response","TRUE","TRUE",1
2,3,NA,"A",0,3478,"instrumental","response","TRUE","FALSE",2
3,99,NA,"B",0,8433.73299994375,"silence","response","TRUE","FALSE",1
